Model,Average Weekly_Sales,RMSE,MAE
Linear Regression,1034022.1798032109,536432.5763348278,462222.4370473708
Random Forest,1034022.1798032109,734986.0118534839,582452.9984738154
LSTM,1034022.1798032109,1158710.6984637494,1026765.5155958196
